date;category;amount
31/05/2020;vestuário;49.71
31/05/2020;serviços;97
31/05/2020;transporte;311.2
31/05/2020;serviços;625
31/05/2020;casa;94.52
01/06/2020;;6.54
01/06/2020;serviços;102.54
02/06/2020;casa;22
03/06/2020;saúde;26.16
03/06/2020;restaurante;12.9
04/06/2020;restaurante;0.99
04/06/2020;restaurante;16.19
04/06/2020;supermercado;358.97
08/06/2020;serviços;34.88
08/06/2020;;-2100.76
09/06/2020;outros;40
09/06/2020;casa;16
10/06/2020;eletrônicos;11
12/06/2020;supermercado;12.87
13/06/2020;restaurante;42
13/06/2020;restaurante;11.57
15/06/2020;restaurante;36.9
15/06/2020;restaurante;8.07
20/06/2020;restaurante;33.9
20/06/2020;supermercado;136.09
20/06/2020;saúde;65
22/06/2020;restaurante;2.68
23/06/2020;serviços;101.5
24/06/2020;restaurante;7.21
25/06/2020;supermercado;32.74
29/06/2020;restaurante;16.97
29/06/2020;vestuário;30.73
