date;category;amount
31/07/2020;casa;85.25
31/07/2020;vestuário;49.71
31/07/2020;serviços;97
31/07/2020;restaurante;8.72
31/07/2020;serviços;625
31/07/2020;vestuário;30.71
01/08/2020;restaurante;40
03/08/2020;restaurante;27.21
04/08/2020;casa;25
05/08/2020;transporte;33.57
05/08/2020;transporte;26.64
06/08/2020;restaurante;12.84
07/08/2020;;-2198.49
08/08/2020;serviços;34.88
11/08/2020;casa;16
12/08/2020;supermercado;21.47
13/08/2020;restaurante;20.16
15/08/2020;transporte;80
17/08/2020;supermercado;25.92
18/08/2020;casa;9
19/08/2020;restaurante;10.55
20/08/2020;restaurante;44.84
21/08/2020;supermercado;9.15
21/08/2020;outros;40
25/08/2020;restaurante;38.1
25/08/2020;supermercado;65.47
25/08/2020;vestuário;19.99
25/08/2020;saúde;65
25/08/2020;casa;28
27/08/2020;outros;40
29/08/2020;serviços;15.68
