date;category;amount
31/08/2020;restaurante;12.05
31/08/2020;vestuário;19.99
31/08/2020;serviços;97
31/08/2020;casa;85.25
31/08/2020;serviços;625
31/08/2020;vestuário;30.71
31/08/2020;serviços;15.68
03/09/2020;saúde;5.15
03/09/2020;restaurante;31.24
04/09/2020;saúde;46.04
04/09/2020;transporte;13.8
04/09/2020;transporte;13.88
05/09/2020;saúde;49.9
05/09/2020;serviços;101.44
07/09/2020;;-1645.86
08/09/2020;serviços;34.88
10/09/2020;casa;33
11/09/2020;transporte;41.74
14/09/2020;transporte;37.1
14/09/2020;restaurante;24
15/09/2020;transporte;64.56
16/09/2020;transporte;68.54
16/09/2020;restaurante;7.5
16/09/2020;educação;49.8
17/09/2020;restaurante;35
17/09/2020;transporte;38.04
17/09/2020;transporte;62.49
18/09/2020;transporte;42
19/09/2020;restaurante;42
21/09/2020;restaurante;37.9
22/09/2020;;5.41
22/09/2020;outros;84.87
26/09/2020;saúde;77.25
26/09/2020;restaurante;13.23
26/09/2020;restaurante;35
26/09/2020;restaurante;50.02
28/09/2020;restaurante;37.9
28/09/2020;restaurante;36.3
