date;category;amount
31/01/2020;viagem;164.16
31/01/2020;serviços;63.33
31/01/2020;serviços;97
31/01/2020;transporte;50
31/01/2020;serviços;625
03/02/2020;;-2972.19
03/02/2020;supermercado;143.94
04/02/2020;transporte;32.49
05/02/2020;restaurante;26.95
05/02/2020;restaurante;21.51
06/02/2020;restaurante;38
10/02/2020;restaurante;26.14
10/02/2020;supermercado;12.17
10/02/2020;transporte;20.62
10/02/2020;transporte;19.07
10/02/2020;saúde;67.55
10/02/2020;transporte;16.92
10/02/2020;saúde;8.95
10/02/2020;transporte;35.49
11/02/2020;restaurante;40.46
12/02/2020;supermercado;14.87
13/02/2020;vestuário;49.71
13/02/2020;restaurante;8.98
13/02/2020;restaurante;26.95
13/02/2020;restaurante;6.15
13/02/2020;transporte;32.49
15/02/2020;restaurante;19.9
15/02/2020;;-19.9
17/02/2020;transporte;29.5
18/02/2020;transporte;32.49
20/02/2020;restaurante;6.72
21/02/2020;restaurante;26.25
22/02/2020;restaurante;10.81
22/02/2020;restaurante;41.4
24/02/2020;lazer;13
24/02/2020;restaurante;15
25/02/2020;lazer;13
26/02/2020;outros;12
26/02/2020;supermercado;29.02
28/02/2020;restaurante;38
