date;category;amount
30/06/2020;vestuário;49.71
30/06/2020;serviços;97
30/06/2020;transporte;311.2
30/06/2020;serviços;625
30/06/2020;casa;38
30/06/2020;vestuário;30.71
01/07/2020;restaurante;33.78
02/07/2020;restaurante;5.68
04/07/2020;casa;85.27
06/07/2020;restaurante;7.97
06/07/2020;saúde;9.45
06/07/2020;transporte;13.3
07/07/2020;;-2363.83
07/07/2020;restaurante;21.46
08/07/2020;restaurante;30
08/07/2020;serviços;34.88
09/07/2020;casa;29
13/07/2020;restaurante;10.63
13/07/2020;restaurante;9.6
15/07/2020;restaurante;9.81
15/07/2020;restaurante;10.06
16/07/2020;casa;20
17/07/2020;restaurante;42
22/07/2020;serviços;101.5
23/07/2020;casa;34
23/07/2020;supermercado;364.1
23/07/2020;restaurante;10.91
23/07/2020;saúde;8.98
23/07/2020;restaurante;33.9
23/07/2020;eletrônicos;94.74
25/07/2020;restaurante;9.8
29/07/2020;restaurante;16.05
