date;category;amount
31/03/2020;vestuário;49.71
31/03/2020;viagem;164.16
31/03/2020;serviços;97
31/03/2020;serviços;625
01/04/2020;restaurante;23.02
01/04/2020;restaurante;42
02/04/2020;restaurante;51
04/04/2020;restaurante;37.9
04/04/2020;restaurante;20.81
06/04/2020;restaurante;26.01
06/04/2020;restaurante;42
06/04/2020;restaurante;42
06/04/2020;casa;94.54
07/04/2020;;-2407
07/04/2020;supermercado;332.61
07/04/2020;restaurante;19.64
10/04/2020;restaurante;30.05
13/04/2020;restaurante;7.46
14/04/2020;restaurante;25.59
14/04/2020;serviços;14
16/04/2020;eletrônicos;36
16/04/2020;restaurante;11.56
18/04/2020;saúde;32.7
18/04/2020;restaurante;15.46
20/04/2020;restaurante;28.79
20/04/2020;restaurante;16.7
21/04/2020;restaurante;23.35
23/04/2020;restaurante;13.21
25/04/2020;transporte;37.89
27/04/2020;restaurante;37.9
27/04/2020;restaurante;22.64
29/04/2020;restaurante;24.28
