date;category;amount
30/11/2020;supermercado;40.55
30/11/2020;transporte;15.01
30/11/2020;casa;75.85
30/11/2020;restaurante;42
30/11/2020;eletrônicos;6
30/11/2020;vestuário;83.31
02/12/2020;restaurante;37.9
03/12/2020;restaurante;40.6
03/12/2020;saúde;36.31
05/12/2020;restaurante;41.6
06/12/2020;;-1879.48
07/12/2020;supermercado;151.9
07/12/2020;restaurante;37.9
08/12/2020;serviços;99
09/12/2020;restaurante;46.55
11/12/2020;serviços;249
14/12/2020;restaurante;49.05
14/12/2020;transporte;8.87
14/12/2020;eletrônicos;8
14/12/2020;vestuário;190
15/12/2020;serviços;34.88
15/12/2020;restaurante;46.55
17/12/2020;transporte;18.52
18/12/2020;transporte;17.34
18/12/2020;transporte;25.28
18/12/2020;restaurante;29.5
21/12/2020;restaurante;11.48
21/12/2020;restaurante;46.55
21/12/2020;restaurante;21.15
21/12/2020;restaurante;40
21/12/2020;restaurante;37.9
22/12/2020;restaurante;44.9
22/12/2020;restaurante;29.9
22/12/2020;transporte;19.27
22/12/2020;restaurante;27
22/12/2020;;5.13
22/12/2020;serviços;80.4
23/12/2020;outros;6
23/12/2020;restaurante;17
23/12/2020;eletrônicos;25.34
23/12/2020;restaurante;29.9
23/12/2020;outros;3
23/12/2020;supermercado;30
24/12/2020;restaurante;37.9
24/12/2020;restaurante;9.25
24/12/2020;restaurante;24.9
24/12/2020;outros;6
26/12/2020;supermercado;5.99
26/12/2020;supermercado;54.02
26/12/2020;eletrônicos;4
28/12/2020;restaurante;42
28/12/2020;casa;9.99
28/12/2020;eletrônicos;5
28/12/2020;eletrônicos;79.92
28/12/2020;restaurante;18.33
28/12/2020;restaurante;40
28/12/2020;restaurante;33.8
29/12/2020;eletrônicos;19.99
29/12/2020;restaurante;29.27
