date;category;amount
31/12/2019;viagem;164.16
31/12/2019;transporte;41.8
31/12/2019;restaurante;13.97
31/12/2019;restaurante;14.41
31/12/2019;restaurante;45.8
31/12/2019;casa;99.28
31/12/2019;restaurante;26.9
31/12/2019;serviços;200
31/12/2019;casa;53.48
31/12/2019;serviços;97
31/12/2019;vestuário;19.99
31/12/2019;saúde;127.82
31/12/2019;serviços;625
01/01/2020;restaurante;15.97
01/01/2020;restaurante;32.8
04/01/2020;transporte;10.16
05/01/2020;;-472
06/01/2020;transporte;32.99
07/01/2020;restaurante;35.29
08/01/2020;eletrônicos;20
08/01/2020;restaurante;39.9
09/01/2020;restaurante;4.99
09/01/2020;restaurante;26.95
09/01/2020;restaurante;25.62
10/01/2020;serviços;63.34
11/01/2020;restaurante;11.16
13/01/2020;supermercado;25.99
13/01/2020;restaurante;3.99
13/01/2020;restaurante;31.2
14/01/2020;restaurante;52.06
14/01/2020;restaurante;6.38
15/01/2020;restaurante;23.88
15/01/2020;transporte;19.72
15/01/2020;transporte;16.32
17/01/2020;restaurante;6.86
17/01/2020;restaurante;24.04
20/01/2020;transporte;34.9
20/01/2020;transporte;50
20/01/2020;supermercado;386.79
20/01/2020;supermercado;13.46
20/01/2020;restaurante;17.2
22/01/2020;transporte;22.31
22/01/2020;transporte;25.73
22/01/2020;restaurante;26.95
23/01/2020;restaurante;13.02
24/01/2020;transporte;34.9
24/01/2020;restaurante;9.98
25/01/2020;restaurante;37.9
25/01/2020;serviços;30
27/01/2020;restaurante;32.76
27/01/2020;restaurante;40
27/01/2020;educação;22.4
28/01/2020;restaurante;26.95
29/01/2020;transporte;34.9
30/01/2020;restaurante;3
30/01/2020;restaurante;20.96
30/01/2020;restaurante;29
