date;category;amount
30/11/2019;restaurante;5.97
30/11/2019;transporte;29.9
30/11/2019;eletrônicos;34.71
30/11/2019;serviços;625
30/11/2019;serviços;97
02/12/2019;transporte;28.9
02/12/2019;restaurante;38.94
03/12/2019;restaurante;16.84
04/12/2019;viagem;227.98
06/12/2019;;-300
06/12/2019;;-1.1
06/12/2019;eletrônicos;34.7
06/12/2019;eletrônicos;34.7
06/12/2019;eletrônicos;34.7
06/12/2019;eletrônicos;34.7
06/12/2019;transporte;17.87
06/12/2019;transporte;14.09
07/12/2019;transporte;24
09/12/2019;restaurante;5.59
09/12/2019;restaurante;9.57
10/12/2019;restaurante;23.96
11/12/2019;serviços;30
11/12/2019;;-300
11/12/2019;restaurante;34.9
11/12/2019;transporte;24.95
12/12/2019;transporte;14.82
12/12/2019;saúde;127.83
13/12/2019;transporte;26
13/12/2019;restaurante;25.11
13/12/2019;restaurante;9.84
14/12/2019;;-300
14/12/2019;restaurante;33.9
16/12/2019;casa;99.28
16/12/2019;restaurante;34.9
16/12/2019;restaurante;31
18/12/2019;transporte;14.66
19/12/2019;transporte;15.32
19/12/2019;restaurante;13.97
19/12/2019;;-100
19/12/2019;transporte;18.43
20/12/2019;transporte;43.24
20/12/2019;supermercado;15
21/12/2019;transporte;40.61
26/12/2019;viagem;15
26/12/2019;serviços;35
26/12/2019;restaurante;13.11
27/12/2019;;-200
27/12/2019;;-80
27/12/2019;;-400
28/12/2019;serviços;40
28/12/2019;restaurante;21.5
28/12/2019;serviços;200
28/12/2019;restaurante;6.5
28/12/2019;vestuário;20
29/12/2019;;-200
30/12/2019;eletrônicos;30
30/12/2019;casa;53.48
30/12/2019;outros;31.8
