date;category;amount
31/12/2020;restaurante;40
31/12/2020;vestuário;190
31/12/2020;serviços;249
31/12/2020;vestuário;83.31
01/01/2021;casa;67.62
02/01/2021;restaurante;39.9
04/01/2021;restaurante;42
06/01/2021;serviços;198
07/01/2021;casa;117.25
07/01/2021;;-2326.75
07/01/2021;restaurante;46.55
11/01/2021;eletrônicos;6
11/01/2021;educação;37.81
11/01/2021;restaurante;29.98
11/01/2021;educação;5.23
11/01/2021;casa;76.7
12/01/2021;restaurante;40
14/01/2021;restaurante;30.7
15/01/2021;serviços;34.88
18/01/2021;supermercado;17
18/01/2021;vestuário;71.48
18/01/2021;restaurante;38
18/01/2021;educação;15.8
18/01/2021;vestuário;70
18/01/2021;restaurante;41.6
18/01/2021;casa;46.94
18/01/2021;restaurante;35.05
18/01/2021;eletrônicos;55.97
19/01/2021;restaurante;66.8
19/01/2021;restaurante;40
20/01/2021;saúde;20.82
22/01/2021;serviços;82.88
22/01/2021;restaurante;46.55
22/01/2021;;5.29
23/01/2021;restaurante;61.8
23/01/2021;restaurante;37.9
25/01/2021;restaurante;100
26/01/2021;saúde;27.68
28/01/2021;restaurante;26.9
30/01/2021;restaurante;19.24
