date;category;amount
30/09/2020;serviços;97
30/09/2020;serviços;625
30/09/2020;restaurante;12.27
30/09/2020;vestuário;30.71
30/09/2020;serviços;15.68
01/10/2020;restaurante;48
02/10/2020;restaurante;37.9
02/10/2020;casa;75.85
02/10/2020;;-2105.67
02/10/2020;restaurante;9.85
03/10/2020;restaurante;36.9
05/10/2020;serviços;99
05/10/2020;restaurante;15.05
06/10/2020;serviços;101.93
06/10/2020;restaurante;6.28
07/10/2020;restaurante;42
07/10/2020;restaurante;6.62
08/10/2020;supermercado;11.96
09/10/2020;restaurante;15.23
12/10/2020;restaurante;42
12/10/2020;supermercado;251.13
12/10/2020;restaurante;14.51
12/10/2020;restaurante;37.9
13/10/2020;restaurante;42
15/10/2020;serviços;34.88
15/10/2020;casa;21
16/10/2020;restaurante;37.9
17/10/2020;restaurante;33.8
17/10/2020;restaurante;117.4
19/10/2020;restaurante;42
21/10/2020;restaurante;35
22/10/2020;;5.57
22/10/2020;outros;87.31
22/10/2020;restaurante;36.9
26/10/2020;vestuário;21.8
26/10/2020;eletrônicos;3.5
26/10/2020;educação;3.28
26/10/2020;educação;104.7
26/10/2020;saúde;37.18
29/10/2020;restaurante;40
30/10/2020;restaurante;37.9
