date;category;amount
28/02/2021;serviços;249
01/03/2021;casa;81.68
01/03/2021;restaurante;20
02/03/2021;restaurante;40.9
03/03/2021;restaurante;32.99
04/03/2021;restaurante;48.54
05/03/2021;restaurante;29.99
06/03/2021;serviços;111.9
06/03/2021;restaurante;72
06/03/2021;saúde;45.03
06/03/2021;;-5466.75
08/03/2021;restaurante;29.99
09/03/2021;restaurante;40.9
11/03/2021;restaurante;49.54
11/03/2021;restaurante;29.9
11/03/2021;restaurante;31.99
12/03/2021;restaurante;34.99
15/03/2021;serviços;34.88
15/03/2021;restaurante;49.48
15/03/2021;casa;3.29
16/03/2021;restaurante;43.39
17/03/2021;saúde;30.13
19/03/2021;restaurante;40.9
22/03/2021;restaurante;30.79
22/03/2021;restaurante;31
22/03/2021;restaurante;52.39
22/03/2021;restaurante;45.19
22/03/2021;restaurante;7.72
23/03/2021;restaurante;31.02
23/03/2021;restaurante;34.99
24/03/2021;;5.47
24/03/2021;serviços;85.67
25/03/2021;restaurante;48.34
26/03/2021;restaurante;40.69
26/03/2021;restaurante;48.34
29/03/2021;restaurante;40
30/03/2021;restaurante;31.99
