date;category;amount
31/01/2021;vestuário;71.47
31/01/2021;serviços;249
01/02/2021;casa;145.45
02/02/2021;restaurante;44.59
04/02/2021;restaurante;28.9
06/02/2021;serviços;111.9
06/02/2021;restaurante;29.9
08/02/2021;educação;81.69
09/02/2021;eletrônicos;3
09/02/2021;saúde;17.87
09/02/2021;restaurante;37.9
12/02/2021;;45.8
12/02/2021;;9.37
12/02/2021;;45.43
12/02/2021;;-2262.62
12/02/2021;restaurante;29.99
13/02/2021;saúde;32.84
15/02/2021;restaurante;29.99
15/02/2021;restaurante;44.55
15/02/2021;serviços;34.88
15/02/2021;restaurante;87.23
15/02/2021;restaurante;9.5
16/02/2021;serviços;200.31
16/02/2021;;12.78
16/02/2021;restaurante;40
17/02/2021;restaurante;183
18/02/2021;restaurante;32.99
18/02/2021;restaurante;29.9
20/02/2021;restaurante;42.59
20/02/2021;restaurante;27.99
20/02/2021;restaurante;23.92
22/02/2021;;71.52
22/02/2021;restaurante;42
23/02/2021;restaurante;40
24/02/2021;restaurante;32.99
25/02/2021;restaurante;31
26/02/2021;restaurante;28.4
26/02/2021;restaurante;34.99
27/02/2021;casa;15.96
27/02/2021;restaurante;27.99
27/02/2021;casa;232.69
