date;category;amount
30/04/2020;vestuário;49.71
30/04/2020;serviços;97
30/04/2020;serviços;625
30/04/2020;casa;94.52
02/05/2020;restaurante;10.11
04/05/2020;restaurante;30.36
05/05/2020;restaurante;20.86
07/05/2020;serviços;14
07/05/2020;;-2044.5
08/05/2020;serviços;34.88
08/05/2020;restaurante;15.6
09/05/2020;saúde;37.13
11/05/2020;restaurante;42
13/05/2020;restaurante;30.64
15/05/2020;restaurante;40.21
16/05/2020;restaurante;19.94
19/05/2020;saúde;67.96
19/05/2020;transporte;311.2
19/05/2020;restaurante;42
19/05/2020;transporte;50
20/05/2020;restaurante;8.17
21/05/2020;transporte;26.43
23/05/2020;serviços;101.27
25/05/2020;restaurante;11.49
25/05/2020;saúde;99.3
26/05/2020;restaurante;52.28
27/05/2020;restaurante;36.9
27/05/2020;restaurante;6.34
28/05/2020;supermercado;16.37
28/05/2020;restaurante;31.8
28/05/2020;casa;29
29/05/2020;supermercado;48.29
